timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1454978702.018731,201.462494,93.242538,-696.912109
1454978702.038751,201.761765,93.093689,-696.834961
1454978702.058801,201.760605,92.868988,-696.534180
1454978702.078820,202.884872,92.723038,-696.452393
1454978702.098871,202.886398,93.098419,-696.078735
1454978702.118921,203.259232,92.649963,-695.850098
1454978702.138971,202.807907,92.424026,-695.176819
1454978702.158990,203.106369,92.125412,-694.874146
1454978702.179040,204.082016,92.278931,-694.794250
1454978702.199090,204.458420,92.655853,-694.193481
1454978702.219140,204.006470,92.279785,-693.669739
1454978702.239190,203.555954,92.203552,-693.296997
1454978702.259210,204.005630,92.130081,-693.369202
1454978702.279260,204.531723,92.356781,-693.517090
1454978702.299279,204.755859,92.207962,-693.140320
1454978702.319330,204.156097,92.281052,-692.918945
1454978702.339349,204.829498,91.983887,-692.464111
1454978702.359399,204.753784,91.909378,-691.714355
1454978702.379419,206.030075,92.214020,-691.558350
1454978702.399469,206.404831,92.291534,-690.356567
1454978702.419519,205.504242,92.213882,-689.836304
1454978702.439538,206.253616,92.142075,-689.306885
1454978702.459588,207.078873,92.295868,-688.402893
1454978702.479608,208.204102,92.450745,-687.497253
1454978702.499627,208.730042,92.904831,-685.245972
1454978702.519677,209.178696,92.757767,-683.893066
1454978702.539697,209.778152,92.761002,-682.764771
1454978702.559747,210.303131,92.914261,-681.337402
1454978702.579797,212.703796,93.299774,-679.300537
1454978702.599878,212.478180,93.224579,-678.701538
1454978702.619892,212.027313,92.997665,-679.003235
1454978702.639942,212.552185,92.999756,-678.775330
1454978702.659992,212.028183,93.222977,-678.704041
1454978702.680042,212.778946,93.375473,-678.850403
1454978702.700092,212.102493,93.073242,-678.703125
1454978702.720142,211.652496,93.071640,-678.705566
1454978702.740192,212.026169,92.772903,-678.777466
1454978702.760242,211.877823,93.147537,-678.629639
1454978702.780262,212.779282,93.450470,-678.850708
1454978702.800312,212.027527,93.072891,-678.778503
1454978702.820362,212.178284,93.223282,-678.928223
1454978702.840412,211.877823,93.147537,-678.629639
1454978702.860462,212.103180,93.223251,-678.703613
1454978702.880512,212.704193,93.450363,-678.701111
1454978702.900562,212.403336,93.223999,-679.001953
1454978702.920581,212.404617,93.524139,-678.853027
1454978702.940631,212.252731,93.149017,-678.477539
1454978702.960681,211.878036,93.222748,-678.404907
1454978702.980731,212.927948,93.150940,-678.923767
1454978703.000812,211.727737,93.147156,-678.480469
1454978703.020832,212.177521,93.073425,-678.777710
1454978703.040882,211.952499,93.072708,-678.703918
1454978703.060932,211.651901,92.921494,-678.855042
1454978703.080951,213.003967,93.376190,-678.924194
1454978703.100971,212.328674,93.298737,-679.002625
1454978703.121021,212.476898,92.924423,-678.850464
1454978703.141040,212.327271,92.998810,-678.926575
1454978703.161090,212.252914,93.148636,-678.852539
1454978703.181140,213.077560,93.076538,-678.847717
1454978703.201190,211.802856,93.147186,-678.705017
1454978703.221241,212.253174,93.223785,-678.702759
1454978703.241291,211.951797,92.922791,-678.628418
1454978703.261341,211.878006,93.147156,-679.004578
1454978703.281360,212.928833,93.376236,-678.624573
1454978703.301410,212.404099,93.449524,-678.477783
1454978703.321430,212.402740,93.149536,-678.476685
1454978703.341449,212.326721,92.924271,-678.476318
1454978703.361499,212.177872,93.148438,-678.777954
1454978703.381519,213.003754,93.376648,-678.474182
1454978703.401569,212.703506,93.300369,-678.700562
1454978703.421588,212.027817,93.148056,-678.628784
1454978703.441638,212.326645,92.924408,-678.326355
1454978703.461658,212.628830,93.375168,-678.626221
1454978703.481708,212.928207,93.226089,-678.774048
1454978703.501728,212.102051,92.998474,-678.477844
1454978703.521778,212.252045,92.999008,-678.476990
1454978703.541797,212.102661,93.148621,-678.328369
1454978703.561847,213.078934,93.376541,-678.848755
1454978703.581897,212.929276,93.451004,-678.849854
1454978703.601947,211.953766,93.372940,-678.479980
1454978703.621967,212.253098,93.223938,-678.552795
1454978703.642017,212.252457,93.073853,-678.627258
1454978703.662036,213.004166,93.451492,-678.624451
1454978703.682086,213.003830,93.376495,-678.624146
1454978703.702106,212.178024,93.223801,-678.403198
1454978703.722156,212.253403,93.299011,-678.478027
1454978703.742176,212.327667,93.149414,-678.327148
1454978703.762226,212.778152,93.225708,-678.624878
1454978703.782245,213.155212,93.676956,-678.699402
1454978703.802295,212.554352,93.525192,-678.327209
1454978703.822345,212.177383,93.073730,-678.477661
1454978703.842365,212.327469,93.074112,-678.626831
1454978703.862415,213.078537,93.301620,-678.773499
1454978703.882434,213.079529,93.526688,-678.699280
1454978703.902484,212.178833,93.373581,-678.628723
1454978703.922504,212.178101,93.223663,-678.553223
1454978703.942554,212.478073,93.224808,-678.476562
1454978703.962574,213.078583,93.301544,-678.848511
1454978703.982624,213.154190,93.451950,-678.698608
1454978704.002643,212.477341,93.074860,-678.401001
1454978704.022663,212.403488,93.299377,-678.627197
1454978704.042713,212.103760,93.373474,-678.479187
1454978704.062732,213.078857,93.376694,-678.698730
1454978704.082782,213.004120,93.451569,-678.549438
1454978704.102802,212.328079,93.224274,-678.477417
1454978704.122852,212.777161,93.000626,-678.699097
1454978704.142932,211.877396,93.072678,-678.479370
1454978704.162982,213.079224,93.451614,-678.774048
1454978704.183033,212.928024,93.226456,-678.399048
1454978704.203083,212.028076,93.223206,-678.479065
1454978704.223133,212.027817,93.148056,-678.628784
1454978704.243152,212.326675,92.924332,-678.401367
1454978704.263202,212.703827,93.375443,-678.625854
1454978704.283252,212.477966,93.225021,-678.251587
1454978704.303272,212.478027,93.224869,-678.401550
1454978704.323322,212.102310,93.073608,-678.328125
1454978704.343341,212.028076,93.223206,-678.479065
1454978704.363391,213.003403,93.301651,-678.473877
1454978704.383441,212.328613,93.374557,-678.177917
1454978704.403492,212.477280,93.075012,-678.251038
1454978704.423542,212.552765,93.149994,-678.550903
1454978704.443592,212.177002,92.998795,-678.402405
1454978704.463642,213.152069,93.002106,-678.546997
1454978704.483692,212.102921,93.148102,-678.853394
1454978704.503742,212.553986,93.450272,-678.251953
1454978704.523792,212.552734,93.150070,-678.475891
1454978704.543842,212.177338,93.073792,-678.402710
1454978704.563892,213.153671,93.377319,-678.323364
1454978704.583911,211.953369,93.298004,-678.404724
1454978704.603961,212.102921,93.223770,-678.178650
1454978704.624012,212.252045,92.999008,-678.476990
1454978704.644031,212.403030,93.224594,-678.401978
1454978704.664081,212.478439,93.299728,-678.551819
1454978704.684131,212.028076,93.223206,-678.479065
1454978704.704181,212.478256,93.300095,-678.176819
1454978704.724201,212.027390,93.073196,-678.478516
1454978704.744251,212.328690,93.374405,-678.327942
1454978704.764301,213.155533,93.752029,-678.624634
1454978704.784320,212.029099,93.448196,-678.479858
1454978704.804370,212.103714,93.373535,-678.404175
1454978704.824390,212.327744,93.149277,-678.477112
1454978704.844471,212.403336,93.299667,-678.327271
1454978704.864521,212.778763,93.375854,-678.475464
1454978704.884571,212.478363,93.299866,-678.401794
1454978704.904590,212.403183,93.224304,-678.701965
1454978704.924640,211.802673,93.147552,-678.330017
1454978704.944660,212.253143,93.223862,-678.627808
1454978704.964710,212.853836,93.375977,-678.625000
1454978704.984760,212.553070,93.225067,-678.476135
1454978705.004810,212.253143,93.223862,-678.627808
1454978705.024860,212.102585,93.148773,-678.178406
1454978705.044910,212.403152,93.224380,-678.626953
1454978705.064960,212.928513,93.301163,-678.699341
1454978705.085010,212.553757,93.375061,-678.476685
1454978705.105091,212.103836,93.373322,-678.629150
1454978705.125141,212.102341,93.073532,-678.403137
1454978705.145191,212.328293,93.223816,-678.927368
1454978705.165271,213.228195,93.227158,-678.772400
1454978705.185321,212.476669,92.924866,-678.400513
1454978705.205371,212.626968,93.000458,-678.324951
1454978705.225452,212.702042,93.000595,-678.474487
1454978705.245502,213.302872,93.152420,-678.771729
1454978705.265583,212.702835,93.150375,-678.700073
1454978705.285602,212.253357,93.299072,-678.403076
1454978705.305652,212.627808,93.150177,-678.625488
1454978705.325702,212.403412,93.299530,-678.477234
1454978705.345752,212.780731,93.825989,-678.327026
1454978705.365772,213.303436,93.302643,-678.547241
1454978705.385822,212.627960,93.225540,-678.250732
1454978705.405841,212.703354,93.300659,-678.400574
1454978705.425891,212.177628,93.148956,-678.252930
1454978705.445941,213.003754,93.376648,-678.474182
1454978705.465961,212.929535,93.526154,-678.700073
1454978705.486011,212.702454,93.075439,-678.624756
1454978705.506031,212.103439,93.298401,-678.553894
1454978705.526081,212.102417,93.073395,-678.553101
1454978705.546100,213.229904,93.602158,-678.773682
1454978705.566150,213.228638,93.377670,-678.247925
